airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
[[0.56299496]],[[0.]],[[0.63388085]],[[0.63291025]],[[0.57808065]],[[0.77133995]],[[0.7124024]],[[0.6849394]],[[0.61847985]],[[0.62227905]]
[[0.7786833]],[[0.7707808]],[[0.780583]],[[0.77740395]],[[0.81745017]],[[0.7635962]],[[0.80434763]],[[0.7257683]],[[0.7191614]],[[0.7486269]]
[[0.6667457]],[[0.6474495]],[[0.70749116]],[[0.7138093]],[[0.66423905]],[[0.6953491]],[[0.7377806]],[[0.7137201]],[[0.7505362]],[[0.7773689]]
[[0.57567334]],[[0.7776028]],[[0.84255636]],[[0.8416214]],[[0.8504772]],[[0.7633233]],[[0.7735147]],[[0.8848965]],[[0.8722714]],[[0.72082406]]
[[0.666398]],[[0.57808065]],[[0.68195534]],[[0.6800808]],[[0.]],[[0.7549496]],[[0.66364014]],[[0.6830393]],[[0.6923012]],[[0.6651525]]
[[0.83606726]],[[0.8781643]],[[0.8349311]],[[0.8735795]],[[0.8455584]],[[0.75372744]],[[0.84339213]],[[0.7419493]],[[0.84801966]],[[0.79420066]]
[[0.6609124]],[[0.54670084]],[[0.66154945]],[[0.66234535]],[[0.5512289]],[[0.80988026]],[[0.6068625]],[[0.76710606]],[[0.81833196]],[[0.7055687]]
[[0.71209264]],[[0.6994479]],[[0.71578526]],[[0.75346863]],[[0.72066957]],[[0.8455949]],[[0.42583978]],[[0.7846128]],[[0.8210941]],[[0.6781119]]
[[0.7166865]],[[0.6667471]],[[0.88900834]],[[0.86957026]],[[0.82274616]],[[0.79702944]],[[0.853956]],[[0.8693592]],[[0.8263468]],[[0.7189609]]
[[0.8214318]],[[0.65559435]],[[0.95246065]],[[0.9118539]],[[0.90046316]],[[0.9227542]],[[0.9588466]],[[0.8882047]],[[0.86309165]],[[0.79150736]]
